imindex,celltype
0000.png,background
0001.png,background
0002.png,background
0003.png,background
0004.png,background
0005.png,background
0006.png,background
0007.png,background
0008.png,background
0009.png,background
0010.png,background
0011.png,background
0012.png,background
0013.png,background
0014.png,background
0015.png,background
0016.png,background
0017.png,background
0018.png,background
0019.png,background
0020.png,background
0021.png,background
0022.png,background
0023.png,background
0024.png,background
0025.png,background
0026.png,background
0027.png,background
0028.png,background
0029.png,background
0030.png,background
0031.png,background
0032.png,background
0033.png,background
0034.png,background
0035.png,background
0036.png,background
0037.png,background
0038.png,background
0039.png,background
0040.png,background
0041.png,background
0042.png,background
0043.png,background
0044.png,background
0045.png,background
0046.png,background
0047.png,background
0048.png,background
0049.png,background
0050.png,background
0051.png,background
0052.png,background
0053.png,background
0054.png,background
0055.png,background
0056.png,background
0057.png,background
0058.png,background
0059.png,background
