imindex,celltype
0000.png,debris
0001.png,debris
0002.png,debris
0003.png,debris
0004.png,debris
0005.png,debris
0006.png,debris
0007.png,debris
0008.png,debris
0009.png,debris
0010.png,debris
0011.png,debris
0012.png,debris
0013.png,debris
0014.png,debris
0015.png,debris
0016.png,debris
0017.png,debris
0018.png,debris
0019.png,debris
0020.png,debris
0021.png,debris
0022.png,debris
0023.png,debris
0024.png,debris
0025.png,debris
0026.png,debris
0027.png,debris
0028.png,debris
0029.png,debris
0030.png,debris
0031.png,debris
0032.png,debris
0033.png,debris
0034.png,debris
0035.png,debris
0036.png,debris
0037.png,debris
0038.png,debris
0039.png,debris
0040.png,debris
0041.png,debris
0042.png,debris
0043.png,debris
0044.png,debris
0045.png,debris
0046.png,debris
0047.png,debris
0048.png,debris
0049.png,debris
0050.png,debris
0051.png,debris
0052.png,debris
0053.png,debris
0054.png,debris
0055.png,debris
0056.png,debris
0057.png,debris
0058.png,debris
0059.png,debris
