area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
897,1332,995,0.901507538,129.6396103,0,40.00111483,39.76477146,0.404622032,33.79490896,38.07886553,35.53583176,32.49695006,-0.618856495,72.28316611,125,901,5.35313534,65020,135707,5662,122,111,100,90,148,60,50,36,21,0,80,4.5
836,1190,891,0.938271605,117.6396103,1,39.52751196,40.37679426,0.365512033,32.62557677,35.73513677,33.96079864,31.61093602,0.155630425,76.4138756,128,838,5.035638141,63977,123330,5704,120,109,96,86,142,58,44,26,15,1,80,4.5
1308,1936,1406,0.93029872,157.4030663,1,39.82415902,40.46788991,0.349133067,40.80927988,45.12205669,42.34849427,39.68363722,0.560749431,76.5382263,143,1308,5.661340303,100112,182215,5283,159,271,118,110,190,78,119,38,34,2,80,4.5
1220,1722,1321,0.923542771,151.0599205,1,40.44918033,39.9057377,0.288042109,39.41258992,43.46262762,40.47589212,38.7604325,0.908214301,79.74508197,144,1220,5.663979502,97289,177049,5364,153,261,117,107,179,72,106,26,15,3,80,4.5
1288,1978,1488,0.865591398,198.3025612,-4,36.90062112,43.24689441,0.46518464,40.49608047,47.12748667,43.46263008,38.4737145,-1.417925634,58.67391304,98,1455,5.915379981,84031,168776,5235,201,306,127,117,183,72,109,32,18,4,80,4.5
1207,1848,1438,0.839360223,201.2375901,0,40.46975973,40.06379453,0.278920986,39.20204243,46.95742753,40.71604477,39.10019005,-0.736263171,46.65037283,83,1215,5.26211169,56563,110670,5431,165,250,106,94,157,63,94,26,14,5,80,4.5
1210,1764,1357,0.891672808,166.1604256,1,41.44958678,42.06280992,0.18566433,39.25073056,43.829214,39.87261938,39.17936325,1.336516372,76.83801653,194,1309,5.854994375,103453,197374,5316,180,291,121,107,177,69,101,28,10,6,80,4.5
1272,1806,1378,0.923076923,156.8172798,1,40.03537736,40.43946541,0.13731389,40.24376599,43.73785546,40.58579531,40.20134979,-1.077528581,77.02122642,135,1272,5.713748621,97971,182000,5315,154,269,118,204,86,139,44,59,12,7,80,4.5
1296,1760,1407,0.921108742,169.2314934,0,40.16820988,40.33873457,0.300485425,40.62165002,45.12205669,41.80660174,39.87456844,0.171388806,61.21990741,111,1303,5.517832918,79618,145851,5303,171,275,119,105,173,72,107,37,38,8,80,4.5
748,992,810,0.92345679,118.3969696,1,39.76470588,39.62566845,0.286398444,30.86070608,33.61547263,31.67887289,30.35186406,-0.553514078,100.8048128,157,748,5.56587106,75402,162556,5793,119,102,88,74,66,58,46,33,21,9,80,4.5
842,1190,909,0.926292629,125.6396103,0,39.86460808,39.95605701,0.14305469,32.74244488,35.51056181,33.03248966,32.6927434,-0.749118184,87.41567696,146,842,5.273436173,73604,144638,5705,120,108,98,88,79,70,56,40,36,10,80,4.5
1583,2162,1704,0.92899061,177.9238816,0,40.60518004,40.12823752,0.290963174,44.89474579,49.39635614,46.06221214,44.06929614,-1.00201721,62.06001263,102,1584,5.836278838,98284,178496,5027,342,148,263,114,197,153,63,77,16,11,80,4.5
670,992,750,0.893333333,115.6396103,0,39.73283582,40.0238806,0.51536644,29.20737056,36.23534186,31.83387695,27.28067478,-0.813379892,67.59402985,109,789,5.511153586,50804,127951,5611,207,145,108,87,72,60,44,33,33,12,80,4.5
1333,1968,1526,0.873525557,181.509668,0,40.39684921,40.46511628,0.556646893,41.1974309,50.32891813,45.86629527,38.10338818,-1.313360587,71.90397599,127,1335,5.994115869,95943,177812,5290,164,280,123,110,187,78,112,37,19,13,80,4.5
849,1224,925,0.917837838,124.0538239,1,39.8598351,39.7467609,0.322392326,32.87826597,36.49657518,33.95961685,32.1463819,1.155771922,85.34864547,146,849,5.338539356,72461,140269,5702,126,111,97,88,75,66,54,42,39,14,80,4.5
936,1296,1013,0.923988154,127.2253967,1,39.70726496,40.38995726,0.299675591,34.52176435,37.80211634,35.45561629,33.82611738,-0.837646494,85.4241453,148,936,5.443523217,79957,153277,5616,127,112,103,93,158,65,51,39,36,15,80,4.5
933,1296,991,0.941473259,125.9177849,0,39.81564845,40.36870311,0.31700943,34.46639661,37,35.45470448,33.6260354,-1.040925499,93.12325831,163,933,5.44696775,86884,174251,5619,129,114,104,96,158,62,48,37,33,16,80,4.5
708,961,742,0.954177898,101.4974747,1,40.26553672,39.80367232,0.438943442,30.02421685,33.24154028,31.75210766,28.52973529,0.852707304,116.6370056,160,708,5.950284549,82579,208924,5692,122,112,98,89,80,69,56,43,39,17,80,4.5
1389,2021,1594,0.871392723,204.7878426,1,39.65802736,40.45428366,0.455109657,42.05389076,49.04079934,45.15648552,40.20893321,1.034521049,61.24118071,107,1399,5.870826146,85493,185648,5250,181,290,120,109,188,76,119,36,31,18,80,4.5
1203,1849,1379,0.872371284,177.4386002,-1,40.10640067,39.98004988,0.35998996,39.1370307,43.93176527,41.00336289,38.25434069,-0.880437483,69.3358271,127,1212,5.90859707,83827,171203,5415,148,127,227,100,91,146,56,44,46,19,80,4.5
1031,1599,1127,0.914818101,149.9533188,-1,40.11251212,40.64015519,0.50470807,36.23133962,42.44997055,39.20188849,33.84260149,0.751011437,76.35111542,134,1031,5.850219208,78718,161928,5549,140,125,112,99,166,68,55,44,42,20,80,4.5
1063,1482,1180,0.900847458,159.5746391,-1,39.59454374,39.89463782,0.284556541,36.78931416,41.59326869,37.86343369,36.29813129,-0.179995632,53.36406397,99,1080,5.156535162,57309,107184,5531,142,123,209,89,80,127,47,32,20,21,80,4.5
720,1088,788,0.913705584,124.2964646,0,40.13888889,39.83611111,0.288772988,30.27759026,34.36568055,31.24086026,29.90992458,0.506363167,92.18194444,152,720,5.122668128,66371,128312,5680,151,119,101,86,76,65,50,40,32,22,80,4.5
971,1332,1046,0.928298279,133.2609307,0,40.21215242,39.75180227,0.355082981,35.16127981,38.89730068,36.46934783,34.09281496,-0.296522252,78.5592173,138,971,5.37697679,76281,163310,5585,134,119,110,100,162,63,50,41,36,23,80,4.5
587,928,646,0.908668731,102.4974747,1,39.69505963,39.91822828,0.381421301,27.33846398,32.14031736,28.61963423,26.45602752,-1.549142174,79.16524702,124,587,5.038625865,46470,113945,5813,120,101,89,74,65,53,39,28,18,24,80,4.5
1257,1848,1449,0.867494824,178.1309883,0,39.5202864,40.17183771,0.215848143,40.00577593,44.94441011,40.86375985,39.9004762,1.164091934,64.8194113,110,1257,5.661788959,81478,164543,5357,158,258,113,189,77,128,49,60,11,25,80,4.5
1222,1722,1345,0.908550186,169.746212,-2,39.59819967,40.42962357,0.395159773,39.4448821,43.8634244,41.38477869,38.01657115,0.750456235,62.63256956,113,1224,5.726627903,76622,148823,5381,153,261,112,102,173,71,97,31,19,26,80,4.5
674,961,713,0.945301543,104.7045815,1,39.54599407,40.12462908,0.379456405,29.294427,32.57299495,30.54388225,28.25949363,-0.555654524,75.59792285,119,677,5.03619269,51100,113440,5723,128,107,97,86,76,63,51,36,33,27,80,4.5
1120,1763,1258,0.890302067,167.8172798,1,40.17321429,40.00357143,0.244624103,37.76278976,43.41658669,38.75603041,37.57854434,-1.389696633,53.23125,95,1130,5.313177998,59973,120367,5488,152,132,120,108,183,72,59,42,44,28,80,4.5
1301,1892,1436,0.905988858,168.0954544,-1,39.68408916,40.33743274,0.296644267,40.69993425,45.12205669,41.88325684,39.99800985,-1.475305905,65.2820907,125,1301,5.515767354,84932,151184,5303,164,270,117,107,188,80,113,33,25,29,80,4.5
857,1224,925,0.926486486,120.5685425,1,39.59393232,40.1831972,0.354026962,33.03280627,36.34556369,34.30225295,32.08067496,1.436416141,87.43873979,148,857,5.450037466,74935,150193,5686,123,109,98,90,79,70,58,42,45,30,80,4.5
1484,2256,1678,0.884386174,200.6518036,0,40.14622642,39.9777628,0.283436656,43.46823535,48.25971405,44.74332728,42.9084464,-1.504221004,51.21495957,85,1495,5.542847772,76400,146333,5163,178,296,128,117,204,83,131,50,50,31,80,4.5
