area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
715,990,760,0.940789474,104.6690476,1,39.59020979,39.91188811,0.439106035,30.17227659,33.73425559,31.91389374,28.67256695,-1.122502167,119.9258741,198,715,5.790508957,85747,175062,5807,112,102,90,80,69,57,43,24,16,0,80,6
730,992,774,0.943152455,111.7401154,1,39.87945205,40.48767123,0.452764803,30.48712626,34.0147027,32.37087858,28.86284604,-0.745921069,112.6438356,191,730,5.370625362,82230,157372,5801,112,104,90,78,70,56,42,29,18,1,80,6
637,870,676,0.942307692,101.1543289,1,39.78492936,39.67974882,0.377474919,28.47900262,31.32091953,29.67578827,27.48036777,-1.063682786,147.3029827,244,637,5.327526028,93832,170801,5763,121,104,92,81,72,62,50,33,22,2,80,6
657,900,681,0.964757709,95.49747468,1,40.31811263,39.79908676,0.334452273,28.92262749,31.32091953,29.83647246,28.11827026,-0.907289647,147.6727549,231,657,5.531545895,97021,190275,5743,116,107,95,86,73,63,51,38,28,3,80,6
725,1023,771,0.940337224,110.7756493,0,39.52689655,40.31172414,0.408358098,30.3825389,33.52610923,31.88576605,29.1060228,-1.294979727,150.7172414,235,725,5.578921238,109270,189405,5809,110,100,88,80,68,56,43,28,18,4,80,6
673,930,706,0.95325779,97.49747468,1,39.59583952,39.6077266,0.438255747,29.27268716,31.95309062,30.93761766,27.80828757,-0.771065362,115.9479941,184,673,5.195723551,78033,149473,5727,118,108,99,87,74,61,52,39,35,5,80,6
663,900,684,0.969298246,95.49747468,1,40.33031674,40.23831071,0.404302167,29.05439413,31.38470965,30.43044479,27.83245999,-0.672984984,139.3800905,221,663,5.299404652,92409,174142,5737,116,108,94,86,75,64,53,37,30,6,80,6
635,870,661,0.960665658,94.08326112,1,39.79527559,39.74015748,0.31090309,28.43425946,30.59411708,29.19504177,27.74818273,-0.828687225,156.6992126,237,635,5.315839221,99504,190107,5765,113,104,95,83,72,60,48,34,26,7,80,6
670,900,700,0.957142857,98.32590181,1,39.64328358,40.35820896,0.443050221,29.20737056,32.31098884,30.91601529,27.7161086,-0.924411998,143.4686567,228,670,5.349260152,96124,174183,5730,118,106,98,85,75,64,53,39,32,8,80,6
637,899,668,0.953592814,95.49747468,1,40.21507064,40.19937206,0.407966742,28.47900262,31.78049716,29.85039054,27.25331073,-1.236645445,162.5259027,255,637,5.52537805,103529,193114,5763,116,106,93,82,72,59,47,33,29,9,80,6
631,900,661,0.954614221,96.08326112,1,39.56893819,39.53724247,0.408431896,28.34456125,31.32091953,29.75859951,27.16331623,-1.196208609,164.4167987,249,632,5.272811518,103841,184869,5768,116,105,96,82,74,61,48,31,19,10,80,6
603,812,627,0.961722488,92.08326112,1,40.13432836,40.04311774,0.305611437,27.70854463,30.08321791,28.45473025,27.09335113,-1.019617626,161.6351575,241,603,5.755274294,97466,235799,5797,111,100,90,81,72,60,45,29,15,11,80,6
749,1056,783,0.956577267,103.9827561,1,40.36448598,40.43658211,0.327440705,30.881328,33.73425559,31.86026196,30.10386082,-1.522202228,144.1989319,241,749,5.272941265,108005,173429,5779,115,104,95,84,71,56,43,33,20,12,80,6
610,841,642,0.950155763,95.98275606,1,39.82131148,39.95409836,0.178129059,27.8689096,30.08321791,28.13830921,27.68829698,-1.366810174,162.4590164,243,610,6.067400628,99100,232750,5790,117,98,88,80,72,58,45,31,21,13,80,6
647,840,672,0.962797619,95.01219331,1,40.46367852,40.3446677,0.352552002,28.70167217,31.32091953,29.69899557,27.79208911,-1.406241729,165.8098918,251,647,5.259616176,107279,192058,5753,112,104,95,85,73,64,50,37,27,14,80,6
684,961,720,0.95,101.7401154,1,40.39473684,40.04678363,0.445029351,29.51094456,33.12099032,31.25126234,27.98600494,-0.954725201,124.2748538,200,684,5.333773831,85004,169747,5716,123,108,98,86,77,65,52,38,37,15,80,6
766,1056,802,0.955112219,104.5685425,1,39.63968668,40.30287206,0.32591089,31.22981734,33.54101966,32.15190255,30.39642452,1.374086155,144.7610966,218,766,5.213862104,110887,180729,5760,112,103,92,82,74,59,49,36,33,16,80,6
631,870,663,0.95173454,94.32590181,1,39.91917591,39.65768621,0.329438898,28.34456125,31.32091953,29.23954463,27.60730251,-1.168460647,166.6529319,246,631,5.269785899,105158,194661,5769,115,105,94,84,72,58,47,34,22,17,80,6
649,900,684,0.948830409,96.66904756,1,39.71956857,39.93374422,0.259665035,28.7459991,31.04834939,29.29914026,28.29414304,-1.165909225,165.6887519,248,649,5.268068374,107532,192472,5751,114,102,94,86,76,63,49,34,31,18,80,6
585,784,607,0.963756178,89.254834,1,40.1982906,39.57094017,0.227084168,27.29185105,29.12043956,27.70275963,26.9790288,-1.010755584,149.2837607,228,585,5.132824946,87331,159608,5815,108,100,89,79,68,56,42,28,15,19,80,6
711,961,752,0.945478723,102.7401154,1,39.91139241,40.40365682,0.483026367,30.08776024,33.61547263,32.20499953,28.1988846,-0.739100827,116.6118143,190,711,5.271240989,82911,158672,5689,125,110,100,90,78,67,55,43,43,20,80,6
664,870,697,0.952654232,99.01219331,1,40.09337349,40.49096386,0.280286205,29.07629718,31.04834939,29.7199498,28.52866952,1.544545367,163.253012,248,665,5.296840332,108494,192439,5735,116,106,97,86,75,63,50,39,33,21,80,6
760,1023,806,0.94292804,109.254834,1,40.25394737,39.80131579,0.39077127,31.1072669,34.20526275,32.49273909,29.90917036,1.211562746,144.2460526,218,760,5.488354294,109627,192685,5767,115,104,92,82,72,59,48,36,25,22,80,6
568,756,590,0.962711864,88.42640687,1,40.36267606,39.93838028,0.124059183,26.89237924,28.86173938,27.03505027,26.82619965,0.522475458,154.6478873,237,568,4.918030515,87840,154695,5832,106,98,86,77,66,55,42,27,11,23,80,6
772,1023,813,0.949569496,109.9827561,1,39.69948187,40.47279793,0.390423021,31.35188876,34.20526275,32.72547652,30.12823794,1.151546608,144.2681347,224,772,5.37754061,111375,183220,5760,113,104,92,84,75,59,46,35,32,24,80,6
623,870,666,0.935435435,97.91168825,1,40.25682183,39.55698234,0.142144663,28.16430784,30.3644529,28.36122282,28.07323997,-0.763915107,125.1380417,201,623,5.029029928,77961,127334,5777,117,100,90,81,68,59,48,35,25,25,80,6
604,870,640,0.94375,93.49747468,1,40.00662252,39.87913907,0.307348852,27.73151069,30.41381265,28.49067004,27.11163364,1.395350895,131.0629139,205,604,4.995523527,79162,130560,5796,113,102,92,79,69,57,44,31,17,26,80,6
662,899,705,0.939007092,104.7045815,0,39.83232628,40.34138973,0.33368673,29.03247455,31.40063694,30.00053574,28.2810257,-1.153209994,126.021148,194,662,4.911938689,83426,140705,5738,128,106,94,82,73,61,49,39,30,27,80,6
700,990,736,0.951086957,102.9116882,1,39.56428571,40.46571429,0.467653174,29.85410661,33.54101966,31.82872372,28.13379237,-1.346498731,154.24,237,700,5.566111137,107968,191430,5700,123,109,100,90,79,65,53,38,43,28,80,6
609,870,635,0.959055118,91.74011537,1,39.96387521,39.72577997,0.28875141,27.84605686,31.04834939,28.54363812,27.32779636,1.474689875,143.5878489,224,609,5.043613179,87445,142293,5791,114,101,92,82,72,60,44,44,0,29,80,6
682,992,735,0.927891156,104.5685425,1,39.99120235,39.68475073,0.404155975,29.46776832,32.75667871,30.91600144,28.27855993,-1.0351274,137.6451613,228,682,5.462872254,93874,172323,5718,127,110,98,87,76,61,50,38,35,30,80,6
749,1089,803,0.932752179,111.3614357,1,40.24432577,39.98798398,0.434056379,30.881328,35.11409973,32.64834388,29.41242641,-0.869109341,108.0547397,182,749,5.404595187,80933,155728,5783,113,102,92,81,72,58,44,32,23,31,80,6
709,960,743,0.954239569,100.9116882,1,39.20874471,38.80394922,0.451568995,30.04541291,33.24154028,31.86418781,28.43038195,-1.162860324,159.3667137,241,713,5.854652067,113406,214024,5811,110,100,92,77,67,57,42,27,17,32,80,6
642,841,671,0.956780924,97.254834,1,40.20872274,40.06542056,0.356251899,28.59055417,31.01612484,29.63263228,27.68843389,-0.789336461,151.305296,238,642,5.510588346,97138,190034,5758,115,101,92,84,74,62,50,36,28,33,80,6
627,870,651,0.963133641,99.39696962,0,39.90909091,40.09090909,0.344325687,28.25457829,30.8058436,29.25044855,27.46179139,-1.05925548,157.6794258,243,627,5.412223788,98865,206016,5773,124,118,118,116,97,54,0,0,0,34,80,6
751,1088,811,0.926017263,113.3969696,0,40.27696405,39.6045273,0.478621633,30.92253059,34.71310992,33.09163259,29.05515694,-0.469347039,101.8748336,166,751,5.186376404,76508,136715,5783,115,101,91,80,70,60,46,33,21,35,80,6
694,1023,741,0.9365722,103.118795,1,39.85302594,39.96397695,0.343604142,29.72588508,33.73425559,30.7738551,28.900176,-0.681459532,106.8847262,174,695,5.178723601,74241,128694,5705,127,109,97,87,76,67,54,43,35,36,80,6
646,928,694,0.930835735,101.4619408,1,39.57275542,39.8126935,0.380224802,28.67948301,32.55764119,29.97390537,27.7226883,-1.202435412,126.3405573,211,646,5.07314052,81616,142499,5754,119,107,95,86,75,61,49,32,22,37,80,6
665,899,699,0.951359084,98.91168825,1,40.09172932,39.86165414,0.451553127,29.09818374,32.01562119,30.86871245,27.54243071,-1.374657583,162.6887218,247,665,5.293499184,108188,186872,5735,117,106,98,89,76,63,51,38,27,38,80,6
595,840,629,0.945945946,93.49747468,1,39.95966387,40.42689076,0.283420173,27.52412631,30.41381265,28.18661867,27.03084982,-1.088082665,144.9596639,228,595,5.747689754,86251,209531,5805,112,99,88,80,70,57,47,42,0,39,80,6
640,868,678,0.943952802,98.91168825,1,40.328125,40.203125,0.45034756,28.54598586,32.01562119,30.28794821,27.04269552,-1.193358342,145.3828125,233,640,5.212610219,93045,164574,5760,118,105,93,83,72,59,50,60,0,40,80,6
763,1023,809,0.943139679,109.1543289,1,40.1559633,39.96461337,0.334472133,31.16860235,34.4818793,32.17020034,30.31737827,1.493657299,144.7785059,226,763,5.314268001,110466,177613,5768,114,102,92,82,74,62,46,34,26,41,80,6
615,840,644,0.954968944,93.49747468,1,40.38861789,40.37886179,0.327438204,27.98289335,30.41381265,28.82572598,27.23663853,-1.241611348,169.6357724,255,615,5.374588469,104326,204434,5785,112,100,90,81,72,60,46,33,21,42,80,6
598,812,621,0.962962963,90.08326112,1,40.33779264,39.7458194,0.153239186,27.59342762,29.61418579,27.80136892,27.4730105,-1.091293093,161.048495,242,598,5.078125281,96307,170726,5802,110,102,89,80,68,57,41,30,21,43,80,6
616,870,651,0.946236559,96.08326112,1,39.89448052,39.72402597,0.203052377,28.00563443,30.6757233,28.37720799,27.78605051,-0.797503063,125.788961,211,616,4.979814293,77486,128403,5784,114,104,92,81,70,57,47,34,17,44,80,6
717,960,744,0.963709677,98.91168825,1,39.81171548,39.63598326,0.386223635,30.21444611,32.75667871,31.48506574,29.04198752,-1.439801898,151.2398884,230,717,5.370260566,108439,183652,5803,110,100,89,80,66,56,44,32,20,45,80,6
716,961,746,0.959785523,99.49747468,1,39.80307263,40.04329609,0.316985395,30.19336871,32.31098884,31.02854302,29.42841405,1.355091158,153.3673184,233,716,5.335353616,109811,187285,5804,109,100,90,79,67,57,44,31,19,46,80,6
625,840,656,0.952743902,97.59797975,0,40.4128,40.1136,0.332474923,28.20947918,31.04834939,29.11533404,27.45902371,-1.250680596,154.5024,248,625,5.300601572,96564,181424,5775,114,103,92,82,71,62,48,32,21,47,80,6
626,900,661,0.947049924,96.32590181,1,40.34345048,40.10223642,0.196685233,28.23203774,30.8058436,28.58251394,28.02420268,-0.615681162,124.6821086,202,626,5.213572339,78051,141025,5774,117,104,92,82,70,58,46,34,23,48,80,6
776,1056,823,0.942891859,111.1543289,1,39.89561856,40.33376289,0.340198861,31.43300633,34.17601498,32.46357494,30.52723684,0.983780524,140.2525773,214,776,5.350175027,108836,180094,5755,115,105,93,83,73,60,48,37,31,49,80,6
646,899,682,0.947214076,98.32590181,1,40.05882353,39.73529412,0.358471503,28.67948301,31.78049716,29.76259503,27.7845929,-1.327401773,149.3328173,230,646,5.050669416,96469,163822,5754,119,106,92,82,74,63,49,36,25,50,80,6
731,960,759,0.963109354,101.4974747,1,40.49521204,39.72366621,0.310791624,30.50800071,33.24154028,31.32004067,29.76901189,1.135197887,141.9138167,218,731,5.27909268,103739,173748,5791,112,101,90,80,68,57,47,35,19,51,80,6
775,1122,847,0.914994097,117.0832611,1,40.03225806,39.66709677,0.420864783,31.41274657,35.35533906,33.09161219,30.01817524,-0.58785434,102.8967742,168,775,5.434396085,79745,144872,5762,119,103,91,82,72,59,50,38,24,52,80,6
623,900,654,0.952599388,95.91168825,1,40.14927769,40.28089888,0.279649548,28.16430784,30.8058436,28.86072592,27.70924489,-0.917577389,117.8282504,189,623,5.046096817,73407,122226,5777,117,104,92,83,74,61,47,30,15,53,80,6
769,992,806,0.954094293,107.4974747,1,39.79583875,40.0390117,0.313970162,31.29091258,33.61547263,32.15748395,30.53137164,1.216788146,139.0026008,206,769,5.466976519,106893,180022,5758,112,102,94,85,73,62,49,37,28,54,80,6
647,870,684,0.945906433,98.70458146,1,40.04327666,39.56414219,0.276696557,28.70167217,31.06444913,29.33668876,28.19130649,-1.184029712,126.6429675,203,647,4.972681527,81938,129909,5753,119,103,92,82,72,62,51,38,28,55,80,6
601,899,639,0.940532081,95.49747468,1,40.08652246,39.5890183,0.271032296,27.66255531,31.40063694,28.29267733,27.23368961,-1.479455016,126.5923461,204,601,4.857745086,76082,120675,5799,114,103,90,82,69,55,42,29,17,56,80,6
665,992,712,0.933988764,101.7401154,1,40.40902256,39.51278195,0.34480204,29.09818374,32.55764119,30.14918246,28.30029665,-1.059581209,141.0270677,234,665,5.375081787,93783,170995,5735,121,108,99,87,75,62,52,37,24,57,80,6
