area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
2006,2704,2094,0.957975167,178.0954544,1,39.86191426,39.55134596,0.185427083,50.53828773,53.45091206,51.02675005,50.1418455,0.477424852,141.000997,222,2007,7.238242568,282937,424371,4607,369,335,295,132,234,191,135,81,21,0,80,10
2013,2756,2116,0.951323251,184.9949494,1,39.61947342,40.07898659,0.203531709,50.62638841,54.12023651,51.21773364,50.14566222,1.522409774,138.3164431,214,2013,7.179553763,278431,411304,4611,378,332,291,132,233,184,131,83,25,1,80,10
1867,2550,1963,0.951095262,172.8528137,1,40.49330477,40.28066417,0.199802571,48.75590457,51.7880295,49.33129272,48.33658524,-1.219414399,147.690948,204,1867,6.917769283,275739,389671,4740,363,319,142,259,218,93,145,87,34,2,80,10
1786,2499,1866,0.957127546,168.5391052,1,39.84602464,40.16293393,0.321887092,47.68653717,51.35172831,49.07774119,46.46572873,1.048324106,155.1237402,223,1787,6.979920586,277147,394737,4814,354,311,142,253,211,84,132,79,20,3,80,10
2422,3306,2598,0.932255581,231.3797257,0,39.96325351,40.13047069,0.221605777,55.53184832,59.48108943,56.40377565,55.00137129,0.391566899,91.67175888,147,2427,6.906696733,222356,353158,4252,431,367,321,275,238,197,156,111,52,4,80,10
2000,2862,2115,0.945626478,188.2375901,0,40.1795,40.29,0.178370097,50.46265044,54.23098745,51.00902519,50.19101738,1.18819293,121.395,178,2000,7.025123843,242790,359088,4634,387,338,152,272,222,97,155,104,39,5,80,10
1855,2550,1960,0.946428571,185.9238816,0,39.81347709,40.09595687,0.093739577,48.59896455,51.97114584,48.77683089,48.56205439,-0.482903942,119.6075472,174,1856,6.735806697,221943,314653,4767,360,306,140,255,216,89,143,89,35,6,80,10
2124,2915,2226,0.954177898,185.3025612,1,40.32580038,39.62758945,0.349914646,52.00346905,55.73149917,53.82673632,50.42389545,1.017831344,156.0103578,218,2124,7.240738475,331366,460615,4498,390,352,312,139,248,200,145,88,28,7,80,10
2252,3192,2431,0.92636775,214.6518036,0,40.54484902,40.1634103,0.302996957,53.54750652,57.97413216,54.99503942,52.40980641,0.855964514,108.4888988,184,2252,7.095909476,244317,375609,4408,393,354,315,274,223,180,137,91,25,8,80,10
1991,2915,2147,0.927340475,206.2020561,0,40.57559016,40.2963335,0.576772994,50.34898146,57.38466694,55.90499618,45.66904129,-0.721187991,106.567554,182,1995,6.843429464,212449,318743,4653,384,172,315,144,257,204,83,129,59,9,80,10
2303,3420,2515,0.915705765,238.0660172,0,39.87798524,39.6739036,0.215162751,54.1504448,60.5309838,55.0386598,53.7495556,-1.465458017,106.9674338,178,2305,7.107580633,246491,378331,4377,422,357,306,272,238,190,132,81,25,10,80,10
1849,2550,1949,0.948691637,175.9238816,1,39.53272039,40.21308816,0.32864583,48.52030419,52.39274759,50.00237932,47.22490905,1.120982051,137.8366685,197,1849,6.837084018,254860,360679,4763,359,323,146,259,211,90,141,87,21,11,80,10
1778,2352,1856,0.957974138,167.7817459,1,39.79696288,40.34364454,0.2696816,47.57961654,50.59644256,48.54069978,46.74224498,1.154940674,133.4184477,188,1778,6.720610532,237218,334293,4823,349,312,144,257,203,86,130,78,18,12,80,10
1835,2450,1928,0.951763485,172.3025612,1,39.83651226,39.59128065,0.261376463,48.33626552,51.2445119,49.26052681,47.54808002,0.786831586,134.8479564,190,1835,6.806251371,247446,352070,4774,365,311,140,254,209,91,140,85,31,13,80,10
1804,2448,1891,0.953992597,168.4386002,0,40.02272727,40.08093126,0.281706723,47.92623643,51.35172831,48.98068419,46.99699384,1.322234031,140.4645233,200,1804,6.827843823,253398,360219,4800,356,310,140,253,209,90,142,82,18,14,80,10
1901,2550,1988,0.956237425,173.4386002,1,39.57811678,39.93056286,0.245314997,49.19784929,52.15361924,50.02000514,48.49156505,-1.567906983,138.7311941,189,1902,6.96125305,263814,385130,4706,363,324,283,125,215,175,126,71,12,15,80,10
1720,2352,1781,0.965749579,162.0243866,1,39.79651163,40.33837209,0.292246387,46.79713685,49.81967483,47.91214449,45.8204469,1.076643542,142.5104651,203,1720,6.775233825,245118,350758,4874,350,159,286,129,225,177,68,96,36,16,80,10
2464,3249,2563,0.961373391,203.7878426,1,41.94724026,39.94642857,0.255183503,56.01126885,58.83026432,57.01030002,55.12283958,0.909669956,149.3518669,205,2464,7.308838699,368003,496581,4179,420,377,342,298,259,214,162,100,49,17,80,10
2166,3024,2315,0.935637149,203.4446968,0,39.52631579,39.72760849,0.30348338,52.51511072,57.48912941,53.91475223,51.37195633,1.038634317,114.5752539,187,2167,7.110926773,248246,378953,4482,398,349,311,139,242,194,148,91,46,18,80,10
1947,2652,2065,0.942857143,184.509668,1,39.85875706,39.64869029,0.23485572,49.78953096,53.16013544,50.57465942,49.16009842,-0.371785256,126.4134566,190,1947,6.935637411,246127,359990,4673,368,322,148,266,227,98,156,106,36,19,80,10
2041,2703,2149,0.949744067,187.509668,0,40.22097011,39.85595296,0.214782028,50.97726857,54.23098745,51.65461557,50.44910064,1.028625704,121.522293,192,2041,7.084252152,248027,376885,4590,382,337,298,135,233,181,135,84,25,20,80,10
1793,2400,1874,0.956776948,167.1959595,1,39.81706637,40.1070831,0.380732286,47.77989644,51.4781507,49.74079374,45.99458139,1.313139846,149.3357501,208,1793,6.908328629,267759,386934,4805,353,316,145,254,209,86,134,82,16,21,80,10
1717,2303,1799,0.954419122,167.8528137,1,39.86779266,40.33546884,0.357052599,46.75630758,50.59644256,48.43783089,45.24501638,1.241107771,140.4705882,198,1717,6.776131806,241188,347076,4882,346,156,288,127,219,174,67,97,44,22,80,10
1559,2160,1654,0.942563482,177.8172798,1,40.14432328,39.6202694,0.392031406,44.55311942,48.66210024,46.61479839,42.88336927,1.356574211,145.9583066,201,1559,6.950967919,227549,373181,5050,174,309,141,250,103,175,65,91,42,23,80,10
1800,2401,1868,0.96359743,171.0243866,1,39.81666667,39.94944444,0.239329721,47.87307365,50.60632372,48.6443708,47.23068525,1.191971005,135.3205556,190,1800,6.738619429,243577,345397,4802,352,161,294,131,233,188,77,107,55,24,80,10
1797,2450,1888,0.951800847,172.2314934,1,40.25542571,40.56149137,0.224989811,47.83316278,50.69516742,48.50825455,47.26455706,0.919638716,132.9821925,192,1797,6.764656855,238969,342718,4806,354,314,141,251,210,88,132,82,22,25,80,10
1941,2754,2081,0.932724652,206.1665222,-1,39.87017002,39.93405461,0.44803244,49.71275446,55.08175742,52.78737589,47.19282727,-0.536052043,99.67645544,168,1941,6.717640484,193472,286259,4707,396,328,143,257,216,89,141,92,31,26,80,10
1764,2500,1850,0.953513514,166.0243866,1,39.5600907,40.28798186,0.225175837,47.39192502,50.69516742,48.11260911,46.87698793,1.388876819,132.4552154,183,1765,6.597874472,233730,330809,4833,348,160,293,132,231,185,72,104,42,27,80,10
1923,2652,2039,0.943109367,185.3025612,1,40.374935,39.94331773,0.14597002,49.4817102,52.81098371,49.83312737,49.29936544,1.137380072,129.1024441,176,1923,6.841535346,248264,363961,4698,370,324,289,128,218,176,120,62,15,28,80,10
1975,2652,2093,0.943621596,184.7878426,1,39.68810127,39.75898734,0.221757214,50.14626707,53.60037313,50.85501185,49.58881927,1.516191394,122.7058228,179,1975,6.919218534,242344,352534,4648,372,326,290,128,225,179,131,78,23,29,80,10
1855,2548,1943,0.954709213,174.3380951,1,39.84690027,40.09973046,0.283540981,48.59896455,52.46903849,49.68256143,47.64359509,1.212814532,139.7234501,192,1855,6.84157314,259187,376941,4755,358,322,143,256,217,88,142,91,28,30,80,10
1962,2704,2079,0.943722944,190.373629,1,39.86136595,40.14984709,0.231245551,49.98095624,53.45091206,50.76511697,49.38914972,1.209587259,135.637105,191,1962,6.888481919,266120,386158,4663,375,327,283,126,228,183,130,68,17,31,80,10
1778,2352,1845,0.963685637,163.6101731,1,40.05399325,40.48425197,0.191485103,47.57961654,50.32891813,48.07321683,47.18364694,1.079777651,126.8003375,180,1778,6.63087208,225451,320964,4816,347,309,141,252,216,88,140,73,18,32,80,10
1778,2352,1845,0.963685637,163.6101731,1,40.05399325,40.48425197,0.191485103,47.57961654,50.32891813,48.07321683,47.18364694,1.079777651,126.8003375,180,1778,6.63087208,225451,320964,4816,347,309,141,252,216,88,140,73,18,33,80,10
1980,2756,2079,0.952380952,184.1665222,1,39.98737374,39.81969697,0.268117807,50.20970323,53.75872022,51.23376854,49.35790216,1.539664643,128.8843434,184,1980,6.9019029,255191,363398,4641,379,338,149,266,225,97,159,103,43,34,80,10
2309,3355,2532,0.91192733,238.4152596,-2,39.52923343,40.30965786,0.529755203,54.22093792,62.20128616,59.14687084,50.16545346,-0.709010109,88.40580338,146,2313,6.807277054,204375,309285,4379,417,365,322,144,254,211,164,107,37,35,80,10
1713,2499,1825,0.938630137,173.7878426,1,40.44658494,39.68943374,0.477768966,46.70181303,52.17278984,49.96549484,43.8939639,-1.006160158,104.068885,180,1715,6.626707054,178400,271875,4897,351,160,285,125,219,174,68,95,26,36,80,10
2093,3080,2283,0.916776172,228.3441918,-2,39.96703297,40.38270425,0.552257002,51.62257614,58.25804665,56.82472456,47.37329084,-0.803844655,97.48733875,160,2093,6.860182626,204041,307636,4582,408,176,328,148,263,214,85,132,64,37,80,10
1914,2754,2077,0.921521425,200.0954544,-2,40.607628,39.96394984,0.440779538,49.36578257,56.04462508,52.32066671,46.96383596,-0.597487554,102.0052247,171,1915,6.71368042,195307,289877,4729,368,328,151,266,223,92,146,82,15,38,80,10
1763,2500,1874,0.94076841,178.9949494,0,40.15087918,40.2081679,0.261472881,47.37849003,50.6359556,48.33666854,46.65507562,1.26461092,152.3959161,223,1763,6.947616016,268674,385781,4856,351,157,282,128,227,183,73,106,37,39,80,10
1801,2401,1864,0.966201717,166.2670273,1,39.69905608,40.23986674,0.243220021,47.88636988,50.69516742,48.66262576,47.20134281,1.349544522,142.5996669,194,1801,6.765526333,256822,366047,4797,351,316,143,252,209,86,139,86,21,40,80,10
1979,2600,2083,0.950072012,183.5807358,1,39.69075291,39.76755937,0.261973575,50.19702241,54.12023651,51.15606379,49.36944065,0.511915668,136.4522486,215,1979,7.195838944,270039,408283,4642,365,326,290,129,225,187,134,81,21,41,80,10
2047,2808,2181,0.938560293,193.7523087,1,40.20957499,39.82999511,0.304394726,51.05214342,55.97320788,52.39090257,49.90474381,1.202619567,122.5295554,187,2049,7.106879822,250976,379647,4583,382,328,292,132,236,197,138,85,27,42,80,10
2136,3135,2340,0.912820513,216.8589104,1,40.46254682,39.84644195,0.379337856,52.1501646,58.41232747,54.4029541,50.33678098,-0.596399603,114.3576779,178,2140,7.119462274,244571,387832,4522,393,340,301,135,233,187,146,101,42,43,80,10
2295,3080,2378,0.96509672,191.8883476,0,40.30544662,40.33812636,0.326817565,54.05631097,57.07013229,55.65599871,52.59978563,0.745009385,162.4440087,223,2295,7.365422451,372809,512191,4332,406,364,324,285,242,194,138,85,30,44,80,10
2099,2912,2260,0.928761062,206.0954544,1,39.54645069,40.23725584,0.309870747,51.69651637,56.88585061,53.15849107,50.54196057,1.261739461,125.769414,197,2099,7.158235446,263990,392565,4541,387,335,296,261,213,166,117,71,13,45,80,10
