area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
1793,2907,2231,0.803675482,408.3980156,-20,24.09425544,19.23089794,0.460765508,47.77989644,61.09828148,54.24379849,48.14255983,0.107272404,24.9157836,43,2733,4.572291745,67680,124342,4690,501,557,170,231,81,96,25,34,15,0,80,0
2631,4484,3642,0.722405272,745.6183618,-29,29.47624477,26.88217408,0.610742164,57.87826226,83.25863319,75.31172642,59.63404913,0.442604472,22.23945268,41,3148,4.431428915,69306,114114,4487,656,690,181,114,122,42,57,22,29,1,80,0
2645,3200,3059,0.864661654,398.8650071,-11,62.40151229,40.12665406,0.899595528,58.03204801,88.141931,91.37632642,39.90623828,-1.529736785,20.37126654,38,3033,4.146916919,61258,101816,4263,730,492,230,203,153,92,123,105,9,2,80,0
2590,4712,3741,0.692328254,765.7544007,-20,30.16409266,27.36061776,0.666630142,57.42552064,84.52810184,78.32383243,58.38169649,0.64473629,22.88648649,37,3056,4.502973396,69866,117266,4528,936,304,150,126,102,94,86,59,15,3,80,0
52,72,58,0.896551724,25.48528137,1,40.03846154,39.78846154,0.506837908,8.13685789,9.486832981,8.818924176,7.602277535,1.53344393,29,49,52,2.528845753,1508,28997,6348,29,23,0,0,0,0,0,0,0,4,80,0
2271,3944,3362,0.675490779,720.5706345,-20,28.48612946,24.50022017,0.624303658,53.77292075,78.39005039,70.84656314,55.34404291,0.295732026,20.57199472,38,3153,4.294467176,63581,104399,3247,1275,676,455,342,212,98,41,24,30,5,80,0
407,702,500,0.814,105.0477272,0,40.26535627,40.07371007,0.598981882,22.76419326,30.52867504,26.60158706,21.3015554,-0.675861039,18.20638821,29,415,3.042951978,7512,28949,5985,134,93,73,56,39,20,0,0,0,6,80,0
401,725,545,0.735779817,127.2609307,-1,39.43890274,40.34413965,0.507936517,22.59577521,29.61418579,25.71470271,22.15050364,-0.97713893,15.06234414,32,427,2.990856212,6332,34291,5973,177,81,56,46,34,33,0,0,0,7,80,0
151,224,172,0.877906977,51.00609665,1,39.29801325,39.99337748,0.653312417,13.86575534,17.88854382,16.21279805,12.27452177,0.572882626,18.87417219,29,158,2.91082111,2948,41910,6242,66,42,29,21,0,0,0,0,0,8,80,0
712,2632,1898,0.375131718,507.8122292,-12,26.98174157,20.71769663,0.708730987,30.10891157,60.90155991,57.5452781,40.5969758,1.558239688,5.726123596,53,2174,2.216103175,12634,25179,4226,1957,217,0,0,0,0,0,0,0,9,80,0
2097,3294,2448,0.856617647,341.5340546,-11,39.94229852,40.9122556,0.540138264,51.67188138,62.16912417,57.23182932,48.16495071,0.390606205,28.56080114,56,2110,5.070238641,60166,98905,4724,547,183,301,134,219,153,51,65,23,10,80,0
2655,5040,3945,0.673003802,820.9381669,-42,31.313371,26.4173258,0.701516382,58.14164593,87.32124598,78.84103203,56.18632385,0.558866017,23.88323917,40,2983,4.510033355,70868,121786,4623,695,623,140,85,111,38,53,16,16,11,80,0
5137,6400,5470,0.939122486,449.527958,-13,41.03893323,38.49756667,0.748465563,80.87417104,112.4322018,100.4629345,66.62437182,0.853667148,56.51703329,74,5143,5.045544721,290622,336328,2292,1055,948,643,732,392,146,104,60,28,12,80,0
2509,3120,2986,0.840254521,368.9360749,-12,63.5308888,40.95097648,0.912244707,56.52042125,86.92525525,91.91263788,37.65161627,-1.522302428,20.37465126,39,2790,4.179422695,56737,99082,4391,446,632,270,198,227,108,88,22,18,13,80,0
5086,6400,5375,0.946232558,365.8589104,-1,41.75285096,37.85116005,0.762333582,80.47171133,112.4322018,101.1499667,65.46266968,0.826480941,57.47168698,72,5092,5.101738234,292583,336675,2151,695,756,820,877,632,183,124,92,70,14,80,0
5185,6400,5441,0.952949825,371.8233765,-3,35.26730955,43.18399229,0.714621054,81.25113562,112.4322018,99.21024529,69.3987366,0.844223504,60.09836066,80,5198,5.526388306,312217,347159,1849,728,741,804,859,749,421,114,80,55,15,80,0
4953,6400,5224,0.948124043,351.6518036,-7,38.8035534,39.44155058,0.782075285,79.41256491,112.4322018,101.6994528,63.3774678,0.886312271,70.18291944,93,4966,5.72860364,348351,400559,1929,569,588,615,651,687,692,401,164,104,16,80,0
4681,6400,5165,0.906292352,384.5218613,-6,38.25016022,39.58513138,0.806286421,77.20125847,112.4322018,102.0430701,60.36105996,0.940233858,69.99615467,91,4684,5.836977968,327821,390900,2299,453,640,426,654,446,684,414,320,64,17,80,0
704,2106,1478,0.47631935,434.4396462,-9,61.05823864,21.96306818,0.883732818,29.93928255,60.8276253,60.91855813,28.50938447,1.224662115,5.542613636,40,2245,2.598294129,12506,25354,4155,1866,355,24,0,0,0,0,0,0,18,80,0
1033,4240,2804,0.368402282,692.1858582,-19,31.41239109,48.37947725,0.797142231,36.26646453,84.11896338,72.48274649,43.76447149,1.368111616,7.099709584,39,2440,2.979178584,17713,32950,3960,2057,383,0,0,0,0,0,0,0,19,80,0
4604,6400,5066,0.90880379,384.8711037,-2,40.66637706,38.87901825,0.810162204,76.56366543,112.4322018,102.0733062,59.8359609,0.9708465,70.34926151,95,4615,5.917256849,324497,386594,2377,455,435,669,466,454,639,425,354,126,20,80,0
1216,3577,2235,0.544071588,402.6406563,-6,43.22039474,35.15213816,0.833718772,39.34792607,73.8241153,61.67528568,34.05643207,0.188677621,20.25657895,41,2273,4.260534036,45183,94436,4127,1081,438,257,179,143,106,69,0,0,21,80,0
4811,6400,5108,0.941855912,353.0304833,-1,36.97983787,40.8931615,0.78859463,78.26592777,112.4322018,101.3206776,62.30344403,0.932890809,71.405529,95,4814,5.887555056,343699,399055,2065,599,414,651,454,711,709,438,305,54,22,80,0
338,1344,900,0.375555556,222.6812409,-4,40.01775148,36.93491124,0.839651526,20.74499858,48.16637832,44.98838963,24.43434184,-1.56377606,5.544378698,42,1877,2.701556864,9726,19498,4523,1679,198,0,0,0,0,0,0,0,23,80,0
4114,6400,4648,0.885111876,351.6934342,-2,39.61764706,40.38818668,0.851890338,72.37477107,112.4322018,102.8780538,53.87931527,1.028101096,76.13247448,98,4140,6.073921691,314822,408698,2860,454,448,644,418,418,627,358,130,43,24,80,0
2721,3520,3118,0.872674792,381.6579003,-9,62.01947813,41.43586917,0.893869111,58.85987429,88.141931,91.06611252,40.82748984,-1.489926575,20.82285924,38,2913,4.190425265,60928,103972,3914,527,397,388,385,330,224,116,74,45,25,80,0
7,8,7,1,7.207106781,1,40.28571429,40.42857143,0.888665622,2.985410661,4.123105626,4.155374706,1.905471133,-0.145728397,40,58,7,2.028907315,280,14543,6400,0,0,0,0,0,0,0,0,0,26,80,0
2870,4960,4468,0.642345568,709.51176,-21,42.09094077,39.0989547,0.831690235,60.44995859,92.28217596,92.48685226,51.35239115,1.520738825,49.85714286,77,3026,5.368356475,150138,262924,4354,544,356,296,253,364,104,67,40,22,27,80,0
152,240,184,0.826086957,54.45584412,1,39.45394737,40.05921053,0.619512897,13.91159268,17.88854382,16.32147777,12.81213935,0.494827269,19.30263158,31,154,2.947175674,2962,46011,6246,65,44,26,19,0,0,0,0,0,28,80,0
