area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
975,1632,1131,0.862068966,181.7167748,-2,39.59179487,39.72307692,0.759705518,35.2336282,48.37354649,44.19358782,28.73764381,-0.252281135,29.67179487,64,981,4.185011628,29046,58341,5419,223,166,149,135,102,78,62,39,27,0,80,0
899,1365,1000,0.899,166.4030663,-3,40.11123471,39.97441602,0.431347844,33.83256347,39.45883931,36.42808118,32.86489392,0.272127052,51.25472747,96,899,4.81606106,46078,93316,5501,203,167,139,111,89,72,48,38,32,1,80,0
897,1408,1013,0.885488648,135.0893578,0,40.30100334,40.12931996,0.710861837,33.79490896,44.72135955,40.6870594,28.61649772,-0.231136915,30.61426979,64,898,4.221408306,27481,55324,5668,132,121,107,95,82,68,55,41,31,2,80,0
871,1292,975,0.893333333,154.3675324,-2,39.94029851,39.8163031,0.458059711,33.30152614,39.05124838,35.71158698,31.74479482,0.215848886,51.82319173,102,871,4.735262445,45138,91300,5529,186,151,136,110,96,74,55,37,26,3,80,0
936,1518,1091,0.857928506,166.4030663,-2,39.64316239,39.48290598,0.717198722,34.52176435,46.69047012,41.85769124,29.16931511,-0.21578785,30.31303419,60,939,4.273281761,28431,58137,5461,206,155,144,124,94,70,58,43,45,4,80,0
86,120,91,0.945054945,32.97056275,1,39.47674419,39.70930233,0.67426857,10.46415791,12.64911064,12.22402159,9.027271482,0.445192945,61.25581395,96,86,2.860019418,5268,36300,6314,39,27,20,0,0,0,0,0,0,5,80,0
907,1368,1025,0.884878049,171.0954544,-1,39.92502756,39.65270121,0.464194375,33.98276426,39.05124838,37.03020674,32.79888938,0.380401479,51.72436604,99,907,4.704218787,46914,92915,5493,207,177,168,124,95,64,49,23,0,6,80,0
111,195,133,0.834586466,46.00609665,1,40.11711712,39.66666667,0.805419286,11.88821221,17,15.80627231,9.36846405,0.455710038,29.0990991,43,111,2.392766922,3230,24505,6289,54,35,22,0,0,0,0,0,0,7,80,0
928,1496,1066,0.87054409,162.1248917,-1,40.17133621,40.50969828,0.715050842,34.37391886,44.91102315,41.72244557,29.16701235,-0.265663136,31.05064655,59,930,4.178368521,28857,56275,5470,200,141,127,107,93,82,67,54,59,8,80,0
118,234,159,0.742138365,52.627417,1,39.47457627,39.96610169,0.70821408,12.2573352,19.6977156,15.62877622,11.03388077,0.434318166,19.99152542,34,125,2.951561735,2461,41142,6275,68,32,25,0,0,0,0,0,0,9,80,0
821,1224,925,0.887567568,156.3025612,0,40.03775883,40.14859927,0.440370713,32.33155836,37.10795063,35.29011974,31.68403543,0.277240429,56.04750305,107,821,4.729683116,46015,93692,5579,191,167,152,111,84,55,61,0,0,10,80,0
874,1419,1032,0.846899225,188.5807358,-6,39.90160183,39.9610984,0.69265996,33.35882735,44.14748011,40.34902171,29.10230862,-0.296583062,31.01601831,59,878,4.242754262,27187,55598,5522,237,177,150,112,78,60,36,28,0,11,80,0
182,300,234,0.777777778,68.35533906,1,39.90659341,40.47802198,0.771101621,15.22266722,21.9544984,20.45191226,13.02197987,0.280311711,17.96703297,35,186,2.903734183,3327,43789,6214,85,52,49,0,0,0,0,0,0,12,80,0
858,1428,992,0.864919355,167.3675324,-1,39.55361305,40.06759907,0.686471294,33.052073,43.68065934,39.38982171,28.64258078,-0.263213789,30.81934732,62,866,4.206519385,26602,54958,5534,210,152,140,99,83,62,49,37,34,13,80,0
2257,4615,3326,0.678592904,681.139177,-34,44.35932654,33.08772707,0.57094776,53.60691795,75.96051606,67.157894,55.13571706,-1.555421569,17.51484271,51,2582,4.159906342,44749,81760,3818,1087,652,353,210,137,78,65,0,0,14,80,0
910,1505,1085,0.838709677,166.9888527,-3,39.97582418,40.28461538,0.685552468,34.03891869,43.28972164,40.36707271,29.3881664,-0.331745856,29.81428571,60,911,4.191941143,27149,54576,5701,138,114,102,90,81,65,49,32,28,15,80,0
928,1551,1102,0.842105263,167.7817459,1,40.24676724,39.96228448,0.747795829,34.37391886,47.67598976,42.8108674,28.42336609,-0.203937651,30.02262931,58,932,4.194778177,27936,55300,5673,137,114,100,92,80,69,58,44,33,16,80,0
687,1080,813,0.84501845,119.3969696,1,39.8558952,39.71179039,0.671045267,29.57559073,36.87817783,36.04080635,26.7212442,1.511470273,57.55021834,100,687,4.860444962,39537,107615,5713,139,121,110,98,85,63,40,31,0,17,80,0
108,182,135,0.8,47.59188309,1,39.80555556,40.50925926,0.667006496,11.72646029,16.1245155,14.35780213,10.69730776,0.96539094,19.91666667,33,110,2.86218869,2179,41217,6290,56,35,19,0,0,0,0,0,0,18,80,0
188,323,230,0.817391304,60.90559159,1,40.11702128,39.88829787,0.719522998,15.47155566,19.41648784,19.22618623,13.35198289,0.973764911,22.21808511,39,190,2.417325848,4207,33795,6210,77,53,39,21,0,0,0,0,0,19,80,0
918,1564,1078,0.851576994,165.4386002,1,40.42156863,39.69716776,0.734716831,34.18821291,46.17358552,42.16740559,28.60526831,-0.27218402,32.80718954,64,920,4.142885279,30159,63848,5682,136,118,105,93,144,56,34,20,12,20,80,0
1000,1540,1133,0.882612533,173.4741341,-1,39.663,39.623,0.734250378,35.68248232,45.54119015,43.8334408,29.7575923,-0.269283674,28.857,62,1000,4.166832069,28857,55056,5606,150,128,116,98,86,74,64,42,36,21,80,0
880,1364,1001,0.879120879,141.1604256,0,39.71590909,39.74318182,0.739353948,33.47313549,44.38468204,41.18918986,27.73338044,-0.215635099,31.35113636,62,886,4.199986028,27710,55326,5514,173,149,141,129,102,79,62,51,0,22,80,0
971,1482,1118,0.868515206,148.7817459,1,39.64057673,40.35633368,0.333123414,35.16127981,40.60788101,36.55785413,34.4697877,0.422880141,37.39443872,69,987,4.764045853,36701,77710,5608,139,118,105,95,163,63,51,35,23,23,80,0
703,1085,809,0.868974042,119.1898628,1,40.09672831,39.69274538,0.478060511,29.9180113,35.51056181,32.23234883,28.31053911,-0.338791946,39.23755334,67,704,4.144664637,27607,49909,5696,142,114,98,87,75,65,54,38,31,24,80,0
786,1200,919,0.855277476,143.746212,-1,39.90330789,40.0178117,0.7160339,31.63489027,41.48493703,38.33579877,26.76089888,-0.121651515,32.53307888,60,803,4.223943836,25916,55610,5597,192,134,110,97,81,63,51,39,36,25,80,0
893,1440,1045,0.854545455,153.1604256,1,39.82082867,39.88353863,0.730604684,33.7194738,46.57252409,41.53119324,28.3575278,-0.252948352,29.37513998,61,898,4.185449537,26326,54522,5694,140,122,106,96,84,59,46,34,19,26,80,0
872,1419,1008,0.865079365,152.9533188,-1,39.51376147,39.95298165,0.730509309,33.32063749,43.41658669,40.81331661,27.87152564,-0.209952389,31.46674312,59,873,4.209877701,27459,55634,5716,130,111,102,91,79,65,49,34,23,27,80,0
333,540,385,0.864935065,99.45584412,1,75.05705706,39.33633634,0.959851979,20.59098755,45,40.85830542,11.46104073,-1.559505649,57.28828829,112,373,4.095219814,20784,66556,6027,97,71,51,44,37,31,20,22,0,28,80,0
77,110,87,0.885057471,34.38477631,1,39.72727273,40.33766234,0.482115823,9.901487007,11.70469991,10.87758543,9.529934058,0.938702023,29.63636364,56,77,2.675256803,2282,30451,6323,41,24,12,0,0,0,0,0,0,29,80,0
74,90,77,0.961038961,29.3137085,1,40.52702703,39.95945946,0.418712869,9.70668462,10.77032961,10.18439722,9.248641339,-0.440148005,54.41891892,87,74,2.929600687,4027,34493,6326,34,25,15,0,0,0,0,0,0,30,80,0
872,1344,972,0.897119342,151.5746391,-2,39.74655963,39.66857798,0.733944896,33.32063749,43.68065934,40.89538393,27.77651356,-0.237267133,33.57798165,65,874,4.333058906,29323,66013,5526,184,149,139,126,93,73,51,38,21,31,80,0
137,210,161,0.850931677,48.627417,1,40.32846715,39.89051095,0.531524745,13.20733954,15.8113883,14.85592217,12.58360139,-0.396198773,37.43065693,65,137,2.811826215,5128,29719,6263,59,43,35,0,0,0,0,0,0,32,80,0
321,600,449,0.714922049,105.3259018,-1,33.40498442,35.06542056,0.602047417,20.21657473,27.01851217,25.60972101,20.44834644,1.027516535,44.21183801,172,677,5.111105062,40307,100882,5723,199,141,105,77,59,39,27,30,0,33,80,0
454,676,509,0.89194499,96.70458146,0,39.78634361,40.2092511,0.346573139,24.04268607,27.51363298,25.09833139,23.54281091,-1.513518194,57.8215859,113,454,3.855345347,26251,52509,5946,114,90,75,59,45,36,35,0,0,34,80,0
948,1512,1146,0.827225131,174.2670273,0,39.60864979,40.44303797,0.674331841,34.74235295,45.69463864,41.19047368,30.4162174,-0.269096751,29.90822785,55,955,4.239746542,28491,58335,5662,159,141,117,95,74,56,43,31,22,35,80,0
622,899,681,0.913362702,107.1898628,1,40.02250804,40.12861736,0.560003147,28.14169499,33.61547263,31.16036717,25.81606756,-0.698627874,42.08360129,79,622,3.760298035,26176,46440,5778,127,102,92,82,67,56,46,33,17,36,80,0
943,1408,1069,0.882132834,157.0243866,0,40.1145281,40.08801697,0.701182639,34.65061169,44.91102315,41.46974091,29.56716645,-0.243617457,29.60551432,55,961,4.304831393,28265,59113,5646,135,117,107,96,87,69,54,44,45,37,80,0
2016,3245,2543,0.792764451,281.6639969,-3,43.48462302,43.74007937,0.470350371,50.66409895,67.26812024,57.22861625,50.50309559,1.20039748,70.21230159,110,2041,6.406220346,142817,257629,4728,256,424,175,299,125,193,73,97,30,38,80,0
930,1365,1022,0.909980431,161.8528137,-1,39.83010753,40.24731183,0.478723168,34.41093978,39.45883931,37.52591886,32.94647727,0.361959929,51.03655914,104,934,4.880534158,47593,95669,5466,199,174,157,129,101,81,52,41,0,39,80,0
945,1530,1109,0.852119026,155.5391052,1,40.36190476,39.96931217,0.693067403,34.68733731,45.27692569,41.38226721,29.8313503,-0.210433614,29.93544974,57,945,4.197306006,28289,56806,5637,139,120,112,100,83,71,61,40,37,40,80,0
856,1184,941,0.909670563,153.1248917,-1,39.86799065,40.25350467,0.443690167,33.01352829,38.62641583,35.6373198,31.93746207,0.256349143,53.4135514,100,858,4.795069547,45792,93533,5542,183,166,154,126,108,79,42,0,0,41,80,0
986,1575,1153,0.855160451,182.7878426,-4,40.34381339,39.52434077,0.718227747,35.43182455,46.32493929,43.11142637,29.9972794,-0.231167082,29.52028398,57,986,4.123449355,29107,56875,5638,173,144,117,95,76,62,43,32,20,42,80,0
776,1224,919,0.844396083,154.4680374,1,39.70360825,39.70489691,0.386732027,31.43300633,37.10795063,34.32657494,31.65569754,0.403613834,55.39690722,98,777,4.74202711,43022,92138,5623,184,149,131,113,92,60,33,15,0,43,80,0
912,1505,1050,0.868571429,157.0243866,-1,39.86074561,40.2379386,0.687543221,34.07630357,44.38468204,40.50544248,29.412762,-0.355585606,31.42763158,58,919,4.303769339,28804,59582,5481,198,143,124,106,92,80,67,53,56,44,80,0
289,437,332,0.870481928,79.14823228,-1,40.24221453,39.98269896,0.600170923,19.18244584,24.35159132,21.8494433,17.47675309,-1.340319672,26.25605536,43,289,3.099275449,7588,47162,6111,95,65,52,42,35,0,0,0,0,45,80,0
1000,1692,1179,0.848176421,169.2670273,-1,39.755,39.99,0.715547853,35.68248232,47.16990566,43.28300186,30.23593475,-0.231117834,29.57,60,1001,4.319079625,29589,59435,5605,142,122,108,98,89,80,65,50,41,46,80,0
921,1440,1053,0.874643875,142.7106781,1,39.66449511,39.94788274,0.730038223,34.24403044,46.32493929,41.78641663,28.55710107,-0.19290752,30.47014115,55,928,4.200719576,28202,55138,5651,135,120,108,97,82,70,56,43,38,47,80,0
813,1224,929,0.875134553,154.4386002,-3,39.73185732,39.54858549,0.439087396,32.17364993,37.10795063,34.98023808,31.42779744,0.367765222,54.15129151,101,814,4.753793578,44059,95642,5586,202,159,131,111,91,70,50,0,0,48,80,0
839,1240,950,0.883157895,134.5035713,1,40.17520858,39.90703218,0.707026742,32.68406306,41.76122604,39.2273181,27.741042,-0.205817114,33.87961859,59,850,4.290338743,28656,59418,5720,129,114,99,89,79,66,48,36,20,49,80,0
991,1692,1156,0.857266436,171.3025612,-3,40.03430878,39.78304743,0.69519524,35.52154823,47.26520919,42.52811458,30.57010032,-0.206859153,28.93844601,59,991,4.212007517,28678,56345,5627,149,122,110,98,82,72,58,45,37,50,80,0
898,1312,1001,0.897102897,137.6040764,1,39.70267261,40.41648107,0.694125204,33.81374145,41.77319715,40.11724169,28.8785686,-0.238430495,32.51781737,64,904,4.246603406,29331,63953,5665,129,116,105,94,84,70,56,41,40,51,80,0
199,315,235,0.846808511,65.07716447,0,40.42713568,39.92462312,0.754080233,15.917747,22.47220505,20.27826505,13.31840574,1.094846598,72.55778894,129,199,3.848478534,14439,55411,6201,86,47,32,34,0,0,0,0,0,52,80,0
937,1330,1038,0.902697495,153.6101731,-1,40.3511206,39.9701174,0.461008658,34.54020054,40.85339643,36.88640353,32.73283357,0.480573273,49.99146211,96,938,4.724479021,46873,90458,5646,136,112,100,90,149,58,47,34,28,53,80,0
883,1344,1052,0.839353612,150.4680374,0,39.68629672,39.86070215,0.709413269,33.53014342,43.17406629,40.43355088,28.49727333,-0.239368934,30.6387316,58,886,4.349514785,27111,59577,5514,187,136,116,103,91,78,68,55,52,54,80,0
846,1368,1013,0.835143139,170.1959595,0,39.64420804,39.98817967,0.395512186,32.82012576,38.63935817,36.06964909,33.1285562,0.319794066,51.48699764,95,847,4.767546714,43590,91777,5553,200,180,147,122,97,68,33,0,0,55,80,0
907,1440,1048,0.865458015,149.3319985,0,39.69680265,40.25358324,0.69057437,33.98276426,45.04442252,40.46370181,29.26583326,-0.18820747,31.09702315,57,912,4.279614527,28307,57718,5677,136,121,106,95,81,64,48,37,35,56,80,0
58,90,66,0.878787879,27.55634919,1,40.20689655,39.96551724,0.689803346,8.593479714,10.77032961,10.22317142,7.401543233,0.622829208,22.87931034,35,58,2.549903658,1327,40605,6342,33,25,0,0,0,0,0,0,0,57,80,0
159,210,171,0.929824561,47.38477631,1,40.40251572,40.14465409,0.623074315,14.22831992,17.49285568,16.18920142,12.66258855,0.495136993,34.79245283,59,159,2.674759082,5532,40803,6241,54,44,35,26,0,0,0,0,0,58,80,0
799,1221,920,0.868478261,164.8883476,-1,39.86858573,39.94993742,0.508167879,31.89542908,37.69615365,35.95236521,30.96426349,0.353041575,55.01126408,96,799,4.866973431,43954,98253,5601,207,166,140,113,86,58,29,0,0,59,80,0
